S1 Table.  Sample names and inferred ancestry/subpopulation assignments from fastStructure analysis for 544 Oryza accessions run with the C7AIR.,,,,,,,,,
Accession,Pop1,Pop2,Pop3,Pop4,Pop5,Pop6,Pop assignment,Species,Group name
NamDawkMai,0.000398,0.000398,0.649359,0.000398,0.131034,0.218413,3,O.sativa,Indica
Ngoba,0.000398,0.000398,0.606861,0.000398,0.000399,0.391546,3,O.sativa,Indica
P1041,0.000398,0.000398,0.790375,0.000398,0.208032,0.000399,3,O.sativa,Indica
P1042,0.000398,0.04276,0.528141,0.000398,0.187348,0.240955,3,O.sativa,Indica
P817,0.000398,0.000398,0.627243,0.000398,0.371165,0.000399,3,O.sativa,Indica
PanJu,0.000398,0.000398,0.599835,0.000398,0.398572,0.000398,3,O.sativa,Indica
Peta,0.000398,0.000398,0.81595,0.000398,0.000399,0.182457,3,O.sativa,Indica
Pokkali,0.000398,0.000398,0.674012,0.000398,0.324395,0.000399,3,O.sativa,Indica
PURPLE,0.000398,0.000398,0.806043,0.000398,0.192365,0.000399,3,O.sativa,Indica
PURPLERep,0.000398,0.000398,0.806043,0.000398,0.192365,0.000399,3,O.sativa,Indica
Ratna,0.000397,0.000398,0.831148,0.000398,0.000398,0.16726,3,O.sativa,Indica
RONDO,0.000398,0.000398,0.809125,0.000399,0.189281,0.000398,3,O.sativa,Indica
RU1303138,0.000397,0.000398,0.998012,0.000397,0.000398,0.000398,3,O.sativa,Indica
RU1303153,0.000397,0.000398,0.998012,0.000398,0.000398,0.000398,3,O.sativa,Indica
Sabharaj,0.000398,0.000398,0.562154,0.000398,0.34751,0.089142,3,O.sativa,Indica
Sanganyan,0.000398,0.000398,0.570758,0.000398,0.427649,0.000399,3,O.glaberrima,Indica
Shala,0.000398,0.000398,0.71799,0.000398,0.280418,0.000399,3,O.sativa,Indica
ShaliiLuk,0.000398,0.000398,0.764719,0.000398,0.233689,0.000398,3,O.sativa,Indica
SravPrapay,0.000398,0.000398,0.516296,0.000398,0.000399,0.482111,3,O.sativa,Indica
SugaPaukhiDhan,0.000398,0.000398,0.57041,0.000398,0.168874,0.259522,3,O.sativa,Indica
TOg5548,0.000398,0.000398,0.877495,0.000399,0.000399,0.120912,3,O.glaberrima,Indica
TOg5882,0.000398,0.000398,0.771008,0.000398,0.2274,0.000398,3,O.glaberrima,Indica
TOg7194,0.000398,0.000398,0.998009,0.000398,0.000399,0.000398,3,O.glaberrima,Indica
TOg7199,0.000398,0.000398,0.998009,0.000398,0.000399,0.000398,3,O.glaberrima,Indica
Toga,0.000398,0.000398,0.758366,0.000398,0.240042,0.000398,3,O.sativa,Indica
UzBegohef2,0.000398,0.000398,0.715041,0.000398,0.000398,0.283366,3,O.sativa,Indica
UZROS59,0.000398,0.000398,0.703052,0.000398,0.295356,0.000399,3,O.sativa,Indica
VulgarisKoChAzpasaly,0.000398,0.000398,0.703052,0.000398,0.295356,0.000399,3,O.sativa,Indica
WG0252580DNAA02,0.000399,0.000398,0.753066,0.000398,0.24534,0.000399,3,O.sativa,Indica
WG0252580DNAA04,0.000396,0.000397,0.998015,0.000397,0.000397,0.000397,3,O.sativa,Indica
WG0252580DNAA05,0.000398,0.000398,0.84702,0.000398,0.151387,0.000399,3,O.sativa,Indica
WG0252580DNAA09,0.000398,0.000398,0.87676,0.000398,0.121648,0.000399,3,O.sativa,Indica
WG0252580DNAB02,0.000397,0.000398,0.603788,0.000398,0.24806,0.146958,3,O.sativa,Indica
WG0252580DNAB05,0.000398,0.000398,0.6709,0.000398,0.327508,0.000399,3,O.sativa,Indica
WG0252580DNAC03,0.014976,0.000398,0.690943,0.000398,0.292886,0.000398,3,O.sativa,Indica
WG0252580DNAE12,0.000398,0.000398,0.682873,0.000398,0.315534,0.000398,3,O.sativa,Indica
WG0252580DNAF02,0.016881,0.000398,0.706956,0.000398,0.274969,0.000398,3,O.sativa,Indica
WG0252580DNAF03,0.000398,0.000398,0.858966,0.000398,0.139441,0.000399,3,O.sativa,Indica
WG0252580DNAF10,0.000398,0.000398,0.537755,0.000398,0.460652,0.000398,3,O.sativa,Indica
WG0252580DNAF11,0.000398,0.000398,0.710748,0.000399,0.287658,0.000399,3,O.sativa,Indica
WG0252580DNAF12,0.000398,0.000398,0.682873,0.000398,0.315534,0.000398,3,O.sativa,Indica
WG0252580DNAG02,0.000397,0.000398,0.842569,0.000398,0.000398,0.155839,3,O.sativa,Indica
WG0252580DNAG03,0.000398,0.000398,0.592944,0.000398,0.405463,0.000399,3,O.sativa,Indica
WG0252580DNAG04,0.000398,0.000398,0.748167,0.000398,0.250241,0.000398,3,O.sativa,Indica
WG0252580DNAG09,0.000396,0.000397,0.998015,0.000397,0.000397,0.000397,3,O.sativa,Indica
WG0252580DNAG12,0.000398,0.000398,0.894666,0.000398,0.103741,0.000399,3,O.sativa,Indica
WG0252580DNAH01,0.000398,0.000398,0.616073,0.000399,0.000399,0.382334,3,O.sativa,Indica
WG0252580DNAH03,0.000398,0.000398,0.886715,0.000398,0.111692,0.000399,3,O.sativa,Indica
WG0252580DNAH04,0.000398,0.000399,0.863464,0.000399,0.000399,0.134942,3,O.sativa,Indica
WG0252580DNAH09,0.000396,0.000397,0.998015,0.000397,0.000397,0.000397,3,O.sativa,Indica
WG0252580DNAH10,0.000398,0.000398,0.89017,0.000398,0.108238,0.000399,3,O.sativa,Indica
WIR3412,0.000398,0.000398,0.388399,0.318826,0.291581,0.000398,3,O.sativa,Indica
WW82290,0.104751,0.000398,0.67004,0.000398,0.224015,0.000399,3,O.sativa,Indica
ZolotyjeVshody,0.000398,0.000398,0.998009,0.000398,0.000399,0.000399,3,O.sativa,Indica
ZolotyjeVshodyRep,0.000398,0.000398,0.998009,0.000398,0.000399,0.000399,3,O.sativa,Indica
2,0.000397,0.090095,0.000398,0.908313,0.000399,0.000398,4,O.sativa,Aromatic
79,0.000397,0.000398,0.000397,0.998012,0.000398,0.000398,4,O.sativa,Aromatic
201429710032R02C02,0.000397,0.000398,0.000397,0.998012,0.000398,0.000398,4,O.sativa,Aromatic
201429710032R09C02,0.000397,0.000398,0.000398,0.99801,0.000398,0.000398,4,O.sativa,Aromatic
201429710137R11C02,0.000398,0.144629,0.000398,0.63535,0.000399,0.218828,4,O.sativa,Aromatic
AkTokhum,0.000398,0.000398,0.000398,0.626271,0.000399,0.372136,4,O.sativa,Aromatic
AmbarbyWhite,0.000398,0.114829,0.000398,0.883578,0.000399,0.000399,4,O.sativa,Aromatic
Barah,0.000397,0.000398,0.000397,0.998011,0.000398,0.000398,4,O.sativa,Aromatic
Basmati,0.000397,0.000398,0.000398,0.99801,0.000398,0.000398,4,O.sativa,Aromatic
BesudiLongGrain,0.000397,0.000398,0.000398,0.99801,0.000398,0.000398,4,O.sativa,Aromatic
CHAHORA144,0.000397,0.000398,0.000398,0.99801,0.000398,0.000399,4,O.sativa,Aromatic
Daudzai,0.000397,0.000398,0.000398,0.998011,0.000398,0.000398,4,O.sativa,Aromatic
Dehraduni,0.000397,0.000398,0.000398,0.99801,0.000398,0.000398,4,O.sativa,Aromatic
Dicolorata,0.000398,0.000398,0.000398,0.874317,0.000398,0.12409,4,O.sativa,Aromatic
DomZard,0.000398,0.000398,0.000397,0.998011,0.000398,0.000398,4,O.sativa,Aromatic
Dudhel,0.000398,0.000398,0.000398,0.615279,0.383129,0.000399,4,O.sativa,Aromatic
FIROOZ,0.000397,0.000398,0.000397,0.998012,0.000398,0.000398,4,O.sativa,Aromatic
Gidej,0.000398,0.000398,0.000397,0.99801,0.000398,0.000398,4,O.sativa,Aromatic
Kamodi,0.000399,0.000398,0.000398,0.583022,0.000399,0.415384,4,O.sativa,Aromatic
MaienGarm,0.000398,0.000398,0.000398,0.534198,0.000399,0.46421,4,O.sativa,Aromatic
Mushkan,0.000398,0.000399,0.000399,0.998005,0.000399,0.0004,4,O.sativa,Aromatic
P1048,0.000398,0.000398,0.000397,0.99801,0.000398,0.000398,4,O.sativa,Aromatic
P1049,0.000397,0.000398,0.000398,0.878813,0.000398,0.119595,4,O.sativa,Aromatic
P807,0.000397,0.000398,0.000399,0.998009,0.000399,0.000399,4,O.sativa,Aromatic
Pakkali,0.000397,0.000398,0.000398,0.99801,0.000398,0.000398,4,O.sativa,Aromatic
Qumanani,0.000397,0.000398,0.000398,0.99801,0.000398,0.000398,4,O.sativa,Aromatic
RedKhoshaCerma,0.000398,0.000398,0.000398,0.650007,0.000399,0.3484,4,O.sativa,Aromatic
SADRIMASALINSKIJ,0.000398,0.000398,0.000397,0.99801,0.000398,0.000398,4,O.sativa,Aromatic
SadriType,0.000397,0.000398,0.000397,0.998012,0.000398,0.000398,4,O.sativa,Aromatic
ShatoLua,0.000398,0.000399,0.000398,0.998007,0.000399,0.000399,4,O.sativa,Aromatic
Shinali,0.000397,0.000398,0.000398,0.99801,0.000398,0.000398,4,O.sativa,Aromatic
Styk,0.000398,0.000398,0.000397,0.99801,0.000398,0.000398,4,O.sativa,Aromatic
WG0252580DNAC06,0.000397,0.000398,0.000397,0.998012,0.000398,0.000398,4,O.sativa,Aromatic
WG0252580DNAD10,0.000397,0.000398,0.000397,0.998011,0.000398,0.000398,4,O.sativa,Aromatic
WG0252580DNAE06,0.000397,0.000398,0.000397,0.998012,0.000398,0.000398,4,O.sativa,Aromatic
WG0252580DNAF06,0.000397,0.000398,0.000397,0.998012,0.000398,0.000398,4,O.sativa,Aromatic
WG0252580DNAG06,0.000397,0.000398,0.000397,0.998011,0.000398,0.000398,4,O.sativa,Aromatic
WG0252580DNAH05,0.000397,0.000398,0.000397,0.998013,0.000398,0.000398,4,O.sativa,Aromatic
WIR3419,0.000398,0.000398,0.000398,0.90045,0.000398,0.097957,4,O.sativa,Aromatic
201429710032R04C02,0.226857,0.000399,0.000398,0.000398,0.771549,0.000398,5,O.sativa,O. glaberrima/admix
201429710032R05C01,0.000398,0.000398,0.444309,0.000398,0.554099,0.000399,5,O.sativa,O. glaberrima/admix
201429710032R08C02,0.000398,0.000398,0.000399,0.382421,0.615986,0.000399,5,O.sativa,O. glaberrima/admix
201429710032R12C02,0.000398,0.000398,0.000399,0.421945,0.576462,0.000399,5,O.sativa,O. glaberrima/admix
201429710137R12C02,0.079697,0.000399,0.000398,0.000398,0.91871,0.000398,5,O.sativa,O. glaberrima/admix
Achhame,0.000398,0.000398,0.000398,0.26724,0.485575,0.24599,5,O.sativa,O. glaberrima/admix
ARC11524,0.160457,0.184303,0.000398,0.000398,0.654045,0.000398,5,O.sativa,O. glaberrima/admix
Atemo,0.000398,0.000398,0.000398,0.000398,0.998009,0.000398,5,O.glaberrima,O. glaberrima/admix
Bankoram,0.000398,0.000398,0.087843,0.000398,0.735631,0.175331,5,O.glaberrima,O. glaberrima/admix
BengalyMorino120,0.000398,0.000398,0.188358,0.000398,0.501066,0.309382,5,O.sativa,O. glaberrima/admix
BesudiShortGrain,0.000398,0.431373,0.000398,0.000398,0.567035,0.000398,5,O.sativa,O. glaberrima/admix
BuluPote,0.063291,0.194911,0.000399,0.000399,0.740601,0.000399,5,O.sativa,O. glaberrima/admix
C8447,0.000399,0.000398,0.000398,0.000398,0.998009,0.000398,5,O.sativa,O. glaberrima/admix
CG14,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
Kabre,0.000399,0.000398,0.000398,0.000398,0.998009,0.000398,5,O.glaberrima,O. glaberrima/admix
KaloMarsi,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.sativa,O. glaberrima/admix
KarangSerang,0.072914,0.16167,0.000399,0.000398,0.76422,0.000399,5,O.sativa,O. glaberrima/admix
KerangSerangSelection,0.211097,0.000398,0.089889,0.000398,0.539666,0.158552,5,O.sativa,O. glaberrima/admix
KeritingTinggi,0.000398,0.386066,0.0004,0.112177,0.50056,0.000398,5,O.sativa,O. glaberrima/admix
Kesa,0.000398,0.000399,0.487713,0.000399,0.510693,0.000399,5,O.sativa,O. glaberrima/admix
PadiKasalle,0.063285,0.082803,0.156684,0.000398,0.696432,0.000398,5,O.sativa,O. glaberrima/admix
PadiPohonBatu,0.118995,0.090115,0.000398,0.000398,0.789696,0.000398,5,O.sativa,O. glaberrima/admix
Pakhedhan,0.000398,0.000398,0.000398,0.269861,0.728547,0.000398,5,O.sativa,O. glaberrima/admix
PutihMontor,0.075831,0.143501,0.000399,0.000398,0.779472,0.000399,5,O.sativa,O. glaberrima/admix
Quinimpol,0.24978,0.000398,0.000398,0.000398,0.748627,0.000398,5,O.sativa,O. glaberrima/admix
Saka,0.000398,0.000398,0.000398,0.000398,0.998009,0.000398,5,O.glaberrima,O. glaberrima/admix
Sakatiana,0.000398,0.059304,0.000398,0.000399,0.939103,0.000399,5,O.glaberrima,O. glaberrima/admix
Samanis,0.059812,0.000399,0.000398,0.000398,0.938595,0.000398,5,O.sativa,O. glaberrima/admix
SecanodoBrazil,0.121806,0.000398,0.000398,0.000399,0.876601,0.000398,5,O.sativa,O. glaberrima/admix
Sigoendaba,0.096906,0.000398,0.000399,0.000398,0.901499,0.000399,5,O.sativa,O. glaberrima/admix
Simpor,0.108408,0.000398,0.000399,0.000399,0.889998,0.000399,5,O.sativa,O. glaberrima/admix
Sipirasikkam,0.051181,0.000398,0.000398,0.095147,0.852478,0.000398,5,O.sativa,O. glaberrima/admix
Stormproof,0.000398,0.000398,0.000398,0.000398,0.99801,0.000398,5,O.sativa,O. glaberrima/admix
TiaHeret,0.072222,0.19512,0.000398,0.000398,0.731463,0.000398,5,O.sativa,O. glaberrima/admix
TOg5603,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6231,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6238,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6244,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6248,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6249,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6251,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6253,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6259,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6264,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6266,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6271,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6281,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6288,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6302,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6303,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6307,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6314,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6328,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6328B,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6335,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6342,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6342rep,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.sativa,O. glaberrima/admix
TOg6367,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6392,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6405,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6422,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6464,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6465,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6468,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6474,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6511,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6512,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6916,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6943,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6946,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg6951,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
TOg7201,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
VARYLAVA9,0.000399,0.060644,0.000398,0.000398,0.720071,0.21809,5,O.sativa,O. glaberrima/admix
VaryVato275,0.000398,0.000398,0.290085,0.000398,0.708323,0.000399,5,O.sativa,O. glaberrima/admix
WAB4501113P40HB,0.000398,0.060904,0.000399,0.000398,0.737911,0.19999,5,Oryza hybrid,O. glaberrima/admix
WAB4502423P33HB,0.073486,0.000398,0.045357,0.000399,0.879961,0.000399,5,Oryza hybrid,O. glaberrima/admix
WAB4502432P18HB,0.333013,0.000398,0.155842,0.000399,0.50995,0.000399,5,Oryza hybrid,O. glaberrima/admix
WAB450IBP160HB,0.266936,0.000398,0.000398,0.000398,0.731471,0.000398,5,Oryza hybrid,O. glaberrima/admix
WAB450IBP20HB,0.000398,0.000398,0.000398,0.000398,0.998009,0.000399,5,Oryza hybrid,O. glaberrima/admix
WAB450IBP23HB,0.167742,0.15113,0.000398,0.000398,0.679934,0.000399,5,Oryza hybrid,O. glaberrima/admix
WAB450IBP24HB,0.076644,0.064362,0.000398,0.000398,0.451066,0.407131,5,Oryza hybrid,O. glaberrima/admix
WAB450IBP38HB,0.364107,0.000398,0.105563,0.0666,0.462932,0.000399,5,Oryza hybrid,O. glaberrima/admix
WAB450IBP62HB,0.127821,0.109279,0.000398,0.000398,0.761706,0.000398,5,Oryza hybrid,O. glaberrima/admix
WC4443,0.128794,0.000398,0.084735,0.000398,0.587216,0.198458,5,O.sativa,O. glaberrima/admix
WG0252580DNAA10,0.096013,0.122531,0.000398,0.000398,0.780262,0.000398,5,O.sativa,O. glaberrima/admix
WG0252580DNAB07,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
WG0252580DNAB08,0.09759,0.119725,0.000398,0.000398,0.78149,0.000398,5,O.sativa,O. glaberrima/admix
WG0252580DNAB09,0.000398,0.000398,0.082002,0.000398,0.916405,0.000399,5,O.sativa,O. glaberrima/admix
WG0252580DNAB10,0.000398,0.000398,0.29509,0.000398,0.703318,0.000398,5,O.sativa,O. glaberrima/admix
WG0252580DNAB11,0.000398,0.000398,0.000398,0.000398,0.99801,0.000398,5,O.sativa,O. glaberrima/admix
WG0252580DNAC04,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
WG0252580DNAC07,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
WG0252580DNAC08,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
WG0252580DNAC09,0.000398,0.122356,0.000398,0.000399,0.876051,0.000399,5,O.sativa,O. glaberrima/admix
WG0252580DNAC11,0.000398,0.000398,0.000398,0.000398,0.99801,0.000398,5,O.sativa,O. glaberrima/admix
WG0252580DNAD04,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
WG0252580DNAD07,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
WG0252580DNAD11,0.000398,0.000398,0.000398,0.000398,0.99801,0.000398,5,O.sativa,O. glaberrima/admix
WG0252580DNAE03,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
WG0252580DNAE04,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
WG0252580DNAE07,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
WG0252580DNAE08,0.089896,0.216719,0.000398,0.000398,0.69219,0.000398,5,O.sativa,O. glaberrima/admix
WG0252580DNAE09,0.096013,0.122531,0.000398,0.000398,0.780262,0.000398,5,O.sativa,O. glaberrima/admix
WG0252580DNAE10,0.210418,0.000398,0.0004,0.000398,0.787987,0.000398,5,O.sativa,O. glaberrima/admix
WG0252580DNAE11,0.000398,0.000398,0.000398,0.000398,0.99801,0.000398,5,O.sativa,O. glaberrima/admix
WG0252580DNAF04,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
WG0252580DNAF05,0.0614,0.000398,0.000424,0.078949,0.590697,0.268133,5,O.meridionalis,O. glaberrima/admix
WG0252580DNAF07,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
WG0252580DNAG07,0.000397,0.000398,0.000398,0.000398,0.998011,0.000398,5,O.glaberrima,O. glaberrima/admix
201429710032R01C01,0.000398,0.000398,0.456104,0.034681,0.000399,0.508021,6,O.sativa,Aus
201429710032R06C02,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
201429710032R07C01,0.000398,0.000398,0.000398,0.000398,0.000398,0.998009,6,O.sativa,Aus
201429710137R03C01,0.000397,0.000398,0.000398,0.000398,0.000398,0.998011,6,O.sativa,Aus
201429710137R05C01,0.000397,0.000398,0.000398,0.000398,0.000398,0.998011,6,O.sativa,Aus
201429710137R09C01,0.000397,0.000398,0.000398,0.000398,0.000398,0.998011,6,O.sativa,Aus
201429710137R09C02,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
Angana,0.000397,0.000398,0.000398,0.000398,0.000398,0.998011,6,O.sativa,Aus
ARC6578,0.000398,0.000398,0.000398,0.000398,0.000398,0.998009,6,O.sativa,Aus
AS46,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
ASWINA330,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
BakTushi,0.000398,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
Bala,0.000398,0.000398,0.439345,0.000399,0.000398,0.559062,6,O.sativa,Aus
Banajira,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
Berenj,0.000398,0.000399,0.000398,0.054658,0.000399,0.943749,6,O.sativa,Aus
BhuwaDhan,0.000398,0.280817,0.000398,0.294744,0.000399,0.423244,6,O.sativa,Aus
Boma,0.000398,0.000398,0.149595,0.000398,0.000398,0.848813,6,O.glaberrima,Aus
Charmarumi,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
DaudzaiFieldMix,0.000397,0.000398,0.000398,0.000398,0.000398,0.998011,6,O.sativa,Aus
DeraWadi143,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
DhalaShaitta,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
Dharial,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
DJ102,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
DJ53,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
DJ90,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
DM55,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
DNJ151,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
Dular,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
Dulugu,0.000398,0.000398,0.149595,0.000398,0.000398,0.848813,6,O.glaberrima,Aus
DV132,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
DV85,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
DvRos2568,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
Fujisaka5,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
Gambir,0.000398,0.000398,0.000398,0.000398,0.000399,0.998009,6,O.sativa,Aus
GHATIKAMMANANGARHAR,0.000398,0.000398,0.000398,0.000398,0.000398,0.998011,6,O.sativa,Aus
Ghorbhai,0.000397,0.000398,0.000398,0.000398,0.000398,0.998011,6,O.sativa,Aus
GHRAIBA,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
HashikalmiAus,0.000397,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
HiMuke,0.000398,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
IRGC103571,0.000398,0.000398,0.149595,0.000398,0.000398,0.848813,6,O.glaberrima,Aus
ItalicaAlefAmbesteRoyj,0.000398,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
Jhona,0.000398,0.000398,0.000398,0.000398,0.34878,0.649628,6,O.sativa,Aus
Kalamkati,0.000398,0.000398,0.000399,0.000398,0.000399,0.998009,6,O.sativa,Aus
Karayal,0.000398,0.000398,0.000398,0.000398,0.214041,0.784366,6,O.sativa,Aus
Karngi,0.000397,0.000398,0.000398,0.000398,0.000398,0.998011,6,O.sativa,Aus
KataktaraAus,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
KhaoPhoi,0.000398,0.116922,0.422279,0.000398,0.000399,0.459604,6,O.sativa,Aus
Kharsu,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
KoiMurali,0.000398,0.000398,0.000398,0.000398,0.201124,0.797284,6,O.sativa,Aus
LUKTAKHAR,0.000398,0.000398,0.000398,0.000398,0.000398,0.998011,6,O.sativa,Aus
Mahlar,0.000398,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
Mallai,0.000398,0.000398,0.000398,0.491592,0.000398,0.506815,6,O.sativa,Aus
N22,0.000398,0.000398,0.000398,0.000398,0.000398,0.998009,6,O.sativa,Aus
N32,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
P22,0.000397,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
Pelu,0.000398,0.000398,0.000398,0.000398,0.000398,0.998009,6,O.sativa,Aus
