S1 Table.  Sample names and inferred ancestry/subpopulation assignments from fastStructure analysis for 544 Oryza accessions run with the C7AIR.,,,,,,,,,
Accession,Pop1,Pop2,Pop3,Pop4,Pop5,Pop6,Pop assignment,Species,Group name
WG0252580DNAB01,0.998012,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAB03,0.871893,0.000398,0.000398,0.000398,0.126514,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAB04,0.060549,0.000399,0.858418,0.000398,0.079837,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAB12,0.998011,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAC01,0.998012,0.000398,0.000397,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAC02,0.693425,0.304982,0.000398,0.000398,0.000399,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAC12,0.551313,0.447094,0.000398,0.000398,0.000398,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAD01,0.667727,0.000398,0.000398,0.000398,0.33068,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAD03,0.799039,0.000398,0.000398,0.000398,0.199368,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAD12,0.681635,0.000398,0.055613,0.000398,0.261558,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAE01,0.826407,0.000398,0.000398,0.000398,0.172001,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAE05,0.998013,0.000397,0.000397,0.000397,0.000398,0.000397,1,O.sativa,Tropical Japonica
WG0252580DNAF01,0.807909,0.000398,0.000398,0.000398,0.190498,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAG11,0.998008,0.000399,0.000398,0.000398,0.000399,0.000399,1,O.sativa,Tropical Japonica
WG0252580DNAH02,0.93471,0.000398,0.000399,0.000398,0.063696,0.000398,1,O.sativa,Tropical Japonica
WG0252580DNAH11,0.998013,0.000398,0.000397,0.000397,0.000398,0.000397,1,O.sativa,Tropical Japonica
WG0252580DNAH12,0.998008,0.000398,0.000398,0.000399,0.000399,0.000398,1,O.sativa,Tropical Japonica
201429710032R01C02,0.000398,0.998008,0.000398,0.000399,0.000399,0.000399,2,O.sativa,Temperate Japonica
201429710032R02C01,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710032R03C02,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710032R04C01,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710032R09C01,0.000398,0.700865,0.000398,0.000398,0.297543,0.000399,2,O.sativa,Temperate Japonica
201429710032R10C02,0.000397,0.998011,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710032R11C01,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710032R11C02,0.000397,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710137R01C01,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710137R02C02,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710137R03C02,0.025962,0.859092,0.113751,0.000398,0.000399,0.000398,2,O.sativa,Temperate Japonica
201429710137R04C02,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
201429710137R10C02,0.142054,0.599586,0.000398,0.000398,0.172394,0.085169,2,O.sativa,Temperate Japonica
201429710137R11C01,0.000397,0.998012,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Affinis,0.000397,0.99801,0.000398,0.000398,0.000399,0.000398,2,O.sativa,Temperate Japonica
ARPASHALI,0.000398,0.954105,0.000398,0.044302,0.000399,0.000398,2,O.sativa,Temperate Japonica
Azerbaidjanica,0.000397,0.99801,0.000398,0.000398,0.000399,0.000398,2,O.sativa,Temperate Japonica
AZROS637,0.000397,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
BakSalyMestnyj,0.000398,0.53632,0.000398,0.462087,0.000399,0.000398,2,O.sativa,Temperate Japonica
Brondol,0.050584,0.61397,0.000398,0.000398,0.334252,0.000398,2,O.sativa,Temperate Japonica
Calmochi101,0.000399,0.998007,0.000398,0.000398,0.000399,0.000399,2,O.sativa,Temperate Japonica
Caucasica,0.000398,0.998011,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Celiaj,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Chernyj,0.000398,0.806551,0.000398,0.000398,0.191857,0.000398,2,O.sativa,Temperate Japonica
Chuncheongbyeo,0.000398,0.998009,0.000398,0.000398,0.000399,0.000398,2,O.sativa,Temperate Japonica
CL272,0.364694,0.633713,0.000398,0.000398,0.000399,0.000398,2,O.sativa,Temperate Japonica
DALRIS13,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Darij8,0.000397,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
DONSKOJ2,0.000397,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
DvRos0219,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
GubuhBalai,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Hokkajdo,0.000397,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Jubilejnyj,0.000398,0.58675,0.000398,0.000398,0.000399,0.411658,2,O.sativa,Temperate Japonica
JUPITER,0.118508,0.536642,0.000398,0.000398,0.343656,0.000398,2,O.sativa,Temperate Japonica
KasakiShalaMestnyj,0.000397,0.99801,0.000398,0.000398,0.000399,0.000399,2,O.sativa,Temperate Japonica
Kendzo,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Koshihikari,0.000398,0.998012,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Krasnodarski,0.000397,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
KROS358,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
KUBAN3,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
KUBANETS508,0.000398,0.623152,0.000398,0.000398,0.375257,0.000399,2,O.sativa,Temperate Japonica
KyzylShala,0.000398,0.623152,0.000398,0.000398,0.375257,0.000399,2,O.sativa,Temperate Japonica
M202,0.000398,0.717974,0.208279,0.000398,0.072552,0.000398,2,O.sativa,Temperate Japonica
M206,0.000398,0.806981,0.000399,0.000399,0.191425,0.000398,2,O.sativa,Temperate Japonica
M667,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Melanotrix,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
MM14,0.266578,0.73183,0.000398,0.000398,0.000399,0.000398,2,O.sativa,Temperate Japonica
Nahodka,0.2362,0.762206,0.000398,0.000399,0.000398,0.000399,2,O.sativa,Temperate Japonica
NF1,0.000397,0.998011,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
NF9,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Nigrescens,0.000398,0.833496,0.000398,0.000399,0.164912,0.000398,2,O.sativa,Temperate Japonica
NIPPONBARE,0.000397,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Pioner320,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Primorsk6,0.000397,0.998012,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Quilla66304,0.000397,0.998012,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
SelNo388,0.000398,0.867338,0.000398,0.000398,0.13107,0.000398,2,O.sativa,Temperate Japonica
Severnyj,0.000397,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
SHIMIZUMOCHI,0.000398,0.998009,0.000398,0.000398,0.000399,0.000398,2,O.sativa,Temperate Japonica
Sigadis,0.000397,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
SPALCIK,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Sug,0.000398,0.998009,0.000398,0.000398,0.000399,0.000399,2,O.sativa,Temperate Japonica
SUNGLIAO2,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
TITAN,0.111088,0.584809,0.000398,0.000398,0.302909,0.000398,2,O.sativa,Temperate Japonica
TOg6250,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.glaberrima,Temperate Japonica
UZBEKSKIJ2,0.000397,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
UzRos275,0.000398,0.916205,0.082203,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
UZROS2759,0.000398,0.998011,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
UzRos421,0.000398,0.998009,0.000398,0.000398,0.000399,0.000398,2,O.sativa,Temperate Japonica
UzRosz17,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
UzRosz215,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
UZROSZ269,0.000397,0.998012,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
UzRosz2741,0.000398,0.917047,0.000398,0.08136,0.000399,0.000399,2,O.sativa,Temperate Japonica
UzRosz2832,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
UZROSZ5,0.000397,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
UZROSZM8,0.000398,0.846104,0.000398,0.152303,0.000399,0.000399,2,O.sativa,Temperate Japonica
UzRoszM9,0.000398,0.919583,0.000398,0.078825,0.000398,0.000398,2,O.sativa,Temperate Japonica
Vavilovi,0.000398,0.751396,0.000398,0.000398,0.247012,0.000398,2,O.sativa,Temperate Japonica
VILKIDZIRE,0.000397,0.998012,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Vrosz213,0.000398,0.99801,0.000398,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
Vulgaris,0.000397,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
WG0252580DNAA11,0.000398,0.998008,0.000398,0.000399,0.000399,0.000399,2,O.sativa,Temperate Japonica
WG0252580DNAD02,0.000397,0.998012,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
WG0252580DNAE02,0.000397,0.998012,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
WG0252580DNAF08,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
WG0252580DNAF09,0.000397,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
WG0252580DNAG01,0.116213,0.882194,0.000398,0.000398,0.000399,0.000398,2,O.sativa,Temperate Japonica
WG0252580DNAG08,0.000398,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
WG0252580DNAG10,0.000397,0.998011,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
WG0252580DNAH08,0.000397,0.998012,0.000397,0.000398,0.000398,0.000398,2,O.sativa,Temperate Japonica
WIR1528,0.000397,0.99801,0.000398,0.000398,0.000399,0.000398,2,O.sativa,Temperate Japonica
WIR2462,0.000398,0.998009,0.000398,0.000399,0.000398,0.000399,2,O.sativa,Temperate Japonica
WIR2623,0.000398,0.84384,0.000398,0.000398,0.154567,0.000399,2,O.sativa,Temperate Japonica
WIR3764,0.000398,0.943695,0.000398,0.05471,0.000399,0.000399,2,O.sativa,Temperate Japonica
WIR623,0.000398,0.814148,0.000398,0.000398,0.18426,0.000399,2,O.sativa,Temperate Japonica
ZEMCYZNYJ,0.000398,0.998009,0.000398,0.000399,0.000398,0.000399,2,O.sativa,Temperate Japonica
201429710032R03C01,0.000397,0.000398,0.998011,0.000398,0.000398,0.000398,3,O.sativa,Indica
201429710032R05C02,0.000396,0.000397,0.998015,0.000397,0.000397,0.000397,3,O.sativa,Indica
201429710032R06C01,0.000397,0.000398,0.998012,0.000398,0.000398,0.000398,3,O.sativa,Indica
201429710032R07C02,0.000396,0.000397,0.998015,0.000397,0.000397,0.000397,3,O.sativa,Indica
201429710032R08C01,0.000397,0.014591,0.983818,0.000398,0.000398,0.000398,3,O.sativa,Indica
201429710032R10C01,0.000397,0.000398,0.998012,0.000398,0.000398,0.000398,3,O.sativa,Indica
201429710137R01C02,0.000398,0.000398,0.56616,0.000398,0.000399,0.432248,3,O.sativa,Indica
201429710137R02C01,0.054283,0.000398,0.893407,0.000398,0.051116,0.000398,3,O.sativa,Indica
201429710137R04C01,0.000397,0.000398,0.645079,0.000398,0.353329,0.000398,3,O.sativa,Indica
201429710137R05C02,0.000397,0.000398,0.99801,0.000398,0.000398,0.000398,3,O.sativa,Indica
201429710137R06C01,0.000398,0.000398,0.570385,0.000398,0.000399,0.428023,3,O.sativa,Indica
201429710137R06C02,0.000396,0.000397,0.998015,0.000397,0.000397,0.000397,3,O.sativa,Indica
201429710137R07C02,0.000398,0.000398,0.815127,0.000398,0.18328,0.000398,3,O.sativa,Indica
201429710137R08C01,0.027104,0.052377,0.478123,0.000398,0.441599,0.000399,3,O.sativa,Indica
201429710137R08C02,0.000396,0.000397,0.998015,0.000397,0.000397,0.000397,3,O.sativa,Indica
201429710137R10C01,0.000398,0.000398,0.661301,0.000398,0.337107,0.000398,3,O.sativa,Indica
201429710137R12C01,0.000398,0.000398,0.974732,0.000398,0.000399,0.023675,3,O.sativa,Indica
