title,url,stars,name,reviewUrl,text,publishedAtDate
SEIKOU COFFEE,https://www.google.com/maps/search/?api=1&query=SEIKOU%20COFFEE&query_place_id=ChIJmXnqYPXraS4RqTF8IA0Ya54,3.0,Nabila Priliyanti,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNUd3NlTjdBRRAB!2m1!1s0x0:0x9e6b180d207c31a9!3m1!1s2@1:CIHM0ogKEICAgICTwseN7AE%7CCgwIkauDsgYQoILBrQI%7C?hl=id,"gua kesini tanggal 11/05/24
sebenernya tempatnya enak enak aja buat nongrkong dan ngopi makanan pun oke. Tapi gerah bgt plis mungkin bisa ditambahin ceiling atau exhaust gitu biar ga pengap udaranya.",2024-05-12T14:43:29.632Z
SEIKOU COFFEE,https://www.google.com/maps/search/?api=1&query=SEIKOU%20COFFEE&query_place_id=ChIJmXnqYPXraS4RqTF8IA0Ya54,3.0,ahmad_zack00 zack,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUREX3RhMDBBRRAB!2m1!1s0x0:0x9e6b180d207c31a9!3m1!1s2@1:CIHM0ogKEICAgIDD_ta00AE%7CCgwImPDYsAYQwI_9mAM%7C?hl=id,,2024-04-10T06:56:24.857Z
SEIKOU COFFEE,https://www.google.com/maps/search/?api=1&query=SEIKOU%20COFFEE&query_place_id=ChIJmXnqYPXraS4RqTF8IA0Ya54,2.0,Aysaft Aida,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUREcXJIazJBRRAB!2m1!1s0x0:0x9e6b180d207c31a9!3m1!1s2@1:CIHM0ogKEICAgIDDqrHk2AE%7CCgwIxZXNsAYQuPmUoAI%7C?hl=id,"Rasa makanan mnurutku lumayan enak, waktu itu pesen ayam katsu geprek, daging ayam lembut, porsi pas, sambel pedesa tapi minusnya lumayan banyak yaitu sambel nya dikit banget, service makanan pakai box (padahal dine in, tp udh kayak take a way). Attmosphere bau asep rokok, sempittt, tempat makan dpt di tribun (sangat tdk proper), dan harga termasuk pricy dengan makanan dan tempat seadanya. So sad;(",2024-04-08T01:39:17.604Z
SEIKOU COFFEE,https://www.google.com/maps/search/?api=1&query=SEIKOU%20COFFEE&query_place_id=ChIJmXnqYPXraS4RqTF8IA0Ya54,3.0,Lanor Gnejt,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNELXRMeGVnEAE!2m1!1s0x0:0x9e6b180d207c31a9!3m1!1s2@1:CIHM0ogKEICAgICD-tLxeg%7CCgwIre6PsAYQgK7f8QE%7C?hl=id,,2024-03-27T10:38:37.506Z
SEIKOU COFFEE,https://www.google.com/maps/search/?api=1&query=SEIKOU%20COFFEE&query_place_id=ChIJmXnqYPXraS4RqTF8IA0Ya54,3.0,Bantal Kursi Cantik,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNOeW9yamJnEAE!2m1!1s0x0:0x9e6b180d207c31a9!3m1!1s2@1:CIHM0ogKEICAgICNyorjbg%7CCgwI6s2KrQYQ2NTxywM%7C?hl=id,,2024-01-13T15:06:18.964Z
Sedjati Coffee & Eatery,https://www.google.com/maps/search/?api=1&query=Sedjati%20Coffee%20%26%20Eatery&query_place_id=ChIJKwRaqmbraS4RBvYho_9rWCI,1.0,rafialghifari,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURiMm9faS1nRRAB!2m1!1s0x0:0x22586bffa321f606!3m1!1s2@1:CIHM0ogKEICAgIDb2o_i-gE%7CCgwIhpO-tQYQwIXTuwE%7C?hl=id,"sorry to say, dateng dari jam 19.30 dan sampe jam 21.00 makanan blm dateng juga padahal tadi pas dateng masi sepi. saya perhatikan, orang orang yg baru dateng setelah saya termasuk orang yg baru banget dateng setelah saya nunggu lama, mereka udah dapet makanannya.

like, halo? finger plater aja ko lama bgt ya dan kenapa orang lain diduluin. dua kali saya datengin kasir untuk nanyain makanannya, tapi bilangnya belum jadi terus. saya rasa sih mereka lupa buat bikin ya, tolong ditingkatkan lagi service nya. thankyou",2024-08-04T14:00:38.393Z
Sedjati Coffee & Eatery,https://www.google.com/maps/search/?api=1&query=Sedjati%20Coffee%20%26%20Eatery&query_place_id=ChIJKwRaqmbraS4RBvYho_9rWCI,1.0,Faizal Abhid,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURyeVB5V193RRAB!2m1!1s0x0:0x22586bffa321f606!3m1!1s2@1:CIHM0ogKEICAgIDryPyW_wE%7CCgwI4KXKtAYQ0IODoQM%7C?hl=id,Makanannya lama keluarnya :( masa cireng 1jam 30menitan lebih :(,2024-07-13T14:44:48.874Z
Sedjati Coffee & Eatery,https://www.google.com/maps/search/?api=1&query=Sedjati%20Coffee%20%26%20Eatery&query_place_id=ChIJKwRaqmbraS4RBvYho_9rWCI,3.0,Aras Realita,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNMeG9uVXBRRRAB!2m1!1s0x0:0x22586bffa321f606!3m1!1s2@1:CIHM0ogKEICAgICLxonUpQE%7CCgwI1NPGswYQkKayzAM%7C?hl=id,Cafe2 kekinian pd umumnya,2024-06-18T15:37:56.965Z
Sedjati Coffee & Eatery,https://www.google.com/maps/search/?api=1&query=Sedjati%20Coffee%20%26%20Eatery&query_place_id=ChIJKwRaqmbraS4RBvYho_9rWCI,3.0,Nheza (Nodista),https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN6Z2FqN2J3EAE!2m1!1s0x0:0x22586bffa321f606!3m1!1s2@1:CIHM0ogKEICAgICzgaj7bw%7CCgwI4uHxsgYQgKmEggI%7C?hl=id,,2024-06-02T13:17:22.541Z
Sedjati Coffee & Eatery,https://www.google.com/maps/search/?api=1&query=Sedjati%20Coffee%20%26%20Eatery&query_place_id=ChIJKwRaqmbraS4RBvYho_9rWCI,1.0,Shafa Ryana,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNUajhtUVV3EAE!2m1!1s0x0:0x22586bffa321f606!3m1!1s2@1:CIHM0ogKEICAgICTj8mQUw%7CCgwIqfyssgYQwM264gI%7C?hl=id,"baru kesini lagi setelah beberapa minggu, pelayanan nya kok gini ya… :(
kopi susu nya rasanya ga kyk biasanya, padahal es nya belum mencair :(",2024-05-20T12:12:25.743Z
