38 Provinsi,,
,Angka Harapan Hidup (AHH) Menurut Provinsi dan Jenis Kelamin (Tahun),
,Laki-laki,Perempuan
,2023,2023
ACEH,68.42,72.35
SUMATERA UTARA,68.06,72
SUMATERA BARAT,68.27,72.21
RIAU,70.28,74.29
JAMBI,69.83,73.81
SUMATERA SELATAN,68.74,72.68
BENGKULU,67.99,71.94
LAMPUNG,69.31,73.28
KEP. BANGKA BELITUNG,69.3,73.26
KEP. RIAU,68.99,72.94
DKI JAKARTA,71.88,75.61
JAWA BARAT,72.01,76.19
JAWA TENGAH,72.95,76.62
DI YOGYAKARTA,73.4,77.03
JAWA TIMUR,70.16,74.16
BANTEN,68.85,72.79
BALI,70.99,75.07
NUSA TENGGARA BARAT,65.54,69.5
NUSA TENGGARA TIMUR,65.82,69.8
KALIMANTAN BARAT,69.38,73.35
KALIMANTAN TENGAH,68.36,72.29
KALIMANTAN SELATAN,67.49,71.45
KALIMANTAN TIMUR,72.96,76.62
KALIMANTAN UTARA,70.72,74.75
SULAWESI UTARA,70.44,74.46
SULAWESI TENGAH,67.24,71.2
SULAWESI SELATAN,69.28,73.24
SULAWESI TENGGARA,69.54,73.51
GORONTALO,66.9,70.87
SULAWESI BARAT,64.11,68
MALUKU,64.87,68.8
MALUKU UTARA,67.17,71.14
PAPUA BARAT,64.88,68.81
PAPUA BARAT DAYA,-,-
PAPUA,64.53,68.45
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,70.17,74.18
