38 Provinsi,,
,Angka Harapan Hidup (AHH) Menurut Provinsi dan Jenis Kelamin (Tahun),
,Laki-laki,Perempuan
,2022,2022
ACEH,68.26,72.16
SUMATERA UTARA,67.66,71.6
SUMATERA BARAT,67.99,71.89
RIAU,70.03,73.9
JAMBI,69.57,73.49
SUMATERA SELATAN,68.38,72.29
BENGKULU,67.74,71.68
LAMPUNG,69.07,72.97
KEP. BANGKA BELITUNG,69.06,72.97
KEP. RIAU,68.58,72.47
DKI JAKARTA,71.45,75.22
JAWA BARAT,71.77,75.48
JAWA TENGAH,72.71,76.53
DI YOGYAKARTA,73.28,76.93
JAWA TIMUR,69.81,73.71
BANTEN,68.46,72.36
BALI,70.69,74.53
NUSA TENGGARA BARAT,65.14,69.07
NUSA TENGGARA TIMUR,65.54,69.43
KALIMANTAN BARAT,69.08,73
KALIMANTAN TENGAH,68.08,72.02
KALIMANTAN SELATAN,67.23,71.13
KALIMANTAN TIMUR,72.8,76.52
KALIMANTAN UTARA,70.7,74.54
SULAWESI UTARA,70.16,74.04
SULAWESI TENGAH,66.98,70.95
SULAWESI SELATAN,69.03,72.96
SULAWESI TENGGARA,69.44,73.47
GORONTALO,66.56,70.53
SULAWESI BARAT,63.74,67.6
MALUKU,64.53,68.43
MALUKU UTARA,66.84,70.79
PAPUA BARAT,64.54,68.44
PAPUA BARAT DAYA,-,-
PAPUA,64.34,68.16
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,69.93,73.83
