city;;name;lon;lat
Jakarta; Indonesia;Pertamina;10.683.089.368.951.000;-6.148.245.364.141.170
Jakarta; Indonesia;SPBU 34.106.03;10.683.534.716.891.600;-6.150.211.130.447.180
Jakarta; Indonesia;SPBU 31.139.01;10.693.431.055.222.200;-6.182.091.963.656.190
Jakarta; Indonesia;SPBU 34-13418;10.694.260.734.363.500;-6.246.366.672.575.730
Jakarta; Indonesia;Pertamina;10.682.521.475.007.700;-6.295.840.449.448.600
Jakarta; Indonesia;;10.689.908.389.774.600;-62.383.952.998.251.800
Jakarta; Indonesia;Pertamina;1.068.584.040.913.100;-6.302.652.536.090.500
Jakarta; Indonesia;SPBU 34-13804;10.686.899.216.382.700;-63.089.368.306.749
Jakarta; Indonesia;Pertamina;10.681.153.038.841.900;-6.292.546.432.457.660
Jakarta; Indonesia;Pertamina;10.681.929.311.062.000;-6.281.144.328.625.190
Jakarta; Indonesia;SPBU 34-13412;1.068.922.996.114.950;-6.229.286.477.916.930
Jakarta; Indonesia;SPBU 34-14209;1.069.161.654.234.620;-6.134.398.827.027.710
Jakarta; Indonesia;Shell;1.067.715.454.722.270;-618.896.022.571.178
Jakarta; Indonesia;SPBU 34-14103;10.691.478.737.460.000;-6.131.212.660.653.580
Jakarta; Indonesia;SPBU Pertamina 34-13802;10.689.658.922.372.600;-6.289.626.345.522.020
Jakarta; Indonesia;SPBU 34-134-22;10.693.001.984.227.100;-6.247.838.723.109.160
Jakarta; Indonesia;SPBU 34-13406;10.694.593.620.221.500;-6.233.749.336.718.770
Jakarta; Indonesia;SPBU 34.14207;10.690.793.884.999.900;-612.896.205
Jakarta; Indonesia;Pertamina;10.692.259.716.310.700;-6.237.423.277.513.260
Jakarta; Indonesia;SPBU 34-13419;10.692.033.160.062.300;-6.241.999.438.465.760
Jakarta; Indonesia;SPBU 34.14413;10.684.730.250.112.400;-6.139.526.996.121.460
Jakarta; Indonesia;SPBU 34 12512;10.682.352.626.227.500;-6.290.481.208.960.740
Jakarta; Indonesia;Pertamina;10.680.133.680.146.700;-6.125.550.392.956.770
