No,Nama Akun,Link Post,Tipe Post,Tanggal,Durasi,View,Like,Comment,Saved,Share,Kategori,Tipe Konten,Sub Tipe Konten,Jumlah Foto
300,ublibrary,https://www.tiktok.com/@ublibrary/video/7288143449293966597?is_from_webapp=1&sender_device=pc,Video,10-Oct-2023,0:00:44,7457,62,4,50,9,Tutorial dan Panduan,Informational,Panduan Koleksi,
340,ublibrary,https://www.tiktok.com/@ublibrary/video/7130451341809290523?is_from_webapp=1&sender_device=pc,Video,11-Aug-2022,0:00:41,657,13,5,0,4,Tutorial dan Panduan,Informational,Panduan Koleksi,
351,unslibrary,https://www.tiktok.com/@unslibrary/video/7428386343169854726?is_from_webapp=1&sender_device=pc,Video,22-Oct-2024,0:01:27,373,4,0,1,0,Tutorial dan Panduan,Informational,Panduan Koleksi,
424,perpustakaan.tsm,https://www.tiktok.com/@perpustakaan.tsm/video/7423374458536103173?is_from_webapp=1&sender_device=pc,Video,8-Oct-2024,0:00:26,750,11,0,0,2,Tutorial dan Panduan,Informational,Panduan Koleksi,
435,perpustakaan.tsm,https://www.tiktok.com/@perpustakaan.tsm/video/7408561330799643910?is_from_webapp=1&sender_device=pc,Video,29-Aug-2024,0:01:31,1026,37,0,1,5,Tutorial dan Panduan,Entertaining,Panduan Koleksi,
637,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7222841842398792986?is_from_webapp=1&sender_device=pc,Video,17-Apr-2023,0:00:31,288,17,0,1,0,Tutorial dan Panduan,Informational,Panduan Koleksi,
662,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7154738256503000347?is_from_webapp=1&sender_device=pc,Video,15-Oct-2022,0:00:38,488,30,0,4,0,Tutorial dan Panduan,Informational,Panduan Koleksi,
717,usakti_library,https://www.tiktok.com/@usakti_library/video/7373506157983304966?is_from_webapp=1&sender_device=pc,Video,27-May-2024,0:00:47,350,8,0,2,0,Tutorial dan Panduan,Informational,Panduan Koleksi,
758,ui_library,https://www.tiktok.com/@ui_library/video/7202201509566745882?is_from_webapp=1&sender_device=pc,Video,20-Feb-2023,0:01:14,1572,11,0,2,1,Tutorial dan Panduan,Informational,Panduan Koleksi,
769,ui_library,https://www.tiktok.com/@ui_library/video/6943469470627204353?is_from_webapp=1&sender_device=pc,Video,25-Mar-2021,0:00:48,2336,35,2,18,1,Tutorial dan Panduan,Informational,Panduan Koleksi,
824,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7324185335762554114?is_from_webapp=1&sender_device=pc,Video,15-Jan-2024,0:00:56,840,22,0,1,0,Tutorial dan Panduan,Informational,Panduan Koleksi,
844,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7176479587575008538?is_from_webapp=1&sender_device=pc,Video,13-Dec-2022,0:02:29,394,19,0,5,2,Tutorial dan Panduan,Informational,Panduan Koleksi,
903,perpusums,https://www.tiktok.com/@perpusums/video/7128207577564876058?is_from_webapp=1&sender_device=pc,Video,5-Aug-2022,0:00:29,473,11,0,9,1,Tutorial dan Panduan,Informational,Panduan Koleksi,
1060,perpustakaan_uma,https://www.tiktok.com/@perpustakaan_uma/video/7396147058547133702?is_from_webapp=1&sender_device=pc,Video,27-Jul-2024,0:02:44,53,16,1,0,5,Tutorial dan Panduan,Informational,Panduan Koleksi,
1251,perpustakaan_umy,https://www.tiktok.com/@perpustakaan_umy/video/7384633264335555845?is_from_webapp=1&sender_device=pc,Video,26-Jun-2024,0:01:26,343,5,0,1,0,Tutorial dan Panduan,Informational,Panduan Koleksi,
1281,perpustakaan_umy,https://www.tiktok.com/@perpustakaan_umy/video/7334702124145659142?is_from_webapp=1&sender_device=pc,Video,12-Feb-2024,0:00:42,16,1,0,0,0,Tutorial dan Panduan,Informational,Panduan Koleksi,
1326,perpustakaan_umy,https://www.tiktok.com/@perpustakaan_umy/video/7097421752153672987?is_from_webapp=1&sender_device=pc,Video,14-May-2022,0:00:44,157,8,0,0,0,Tutorial dan Panduan,Informational,Panduan Koleksi,
1422,unaslibrary,https://www.tiktok.com/@unaslibrary/video/7431046410071592197?is_from_webapp=1&sender_device=pc,Video,29-Oct-2024,0:00:55,728,7,0,0,2,Tutorial dan Panduan,Informational,Panduan Koleksi,
