No,Nama Akun,Link Post,Tipe Post,Tanggal,Durasi,View,Like,Comment,Saved,Share,Kategori,Tipe Konten,Sub Tipe Konten,Jumlah Foto
28,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7294172776007535878?is_from_webapp=1&sender_device=pc,Video,26-Oct-2023,0:00:08,2906,27,0,0,0,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan di Fasilitas Perpustakaan,
238,ublibrary,https://www.tiktok.com/@ublibrary/video/7382168354603175173?is_from_webapp=1&sender_device=pc,Video,15-Jun-2024,0:00:16,1884,35,4,1,2,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
328,ublibrary,https://www.tiktok.com/@ublibrary/video/7204762662142479642?is_from_webapp=1&sender_device=pc,Video,27-Feb-2023,0:00:30,478,7,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
371,unslibrary,https://www.tiktok.com/@unslibrary/video/7366184497110404357?is_from_webapp=1&sender_device=pc,Video,7-May-2024,0:00:23,1391,39,0,2,7,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
562,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7394684598522809606?is_from_webapp=1&sender_device=pc,Video,23-Jul-2024,0:00:16,282,7,0,1,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
605,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7315315705887345925?is_from_webapp=1&sender_device=pc,Video,22-Dec-2023,0:01:22,362,7,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
643,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7211440652855414042?is_from_webapp=1&sender_device=pc,Video,17-Mar-2023,0:00:59,280,7,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
818,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7351324364668783874?is_from_webapp=1&sender_device=pc,Video,28-Mar-2024,0:00:43,832,19,2,0,2,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan di Fasilitas Perpustakaan,
832,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7232506183838354715?is_from_webapp=1&sender_device=pc,Video,13-May-2023,0:00:51,690,28,0,0,2,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan di Fasilitas Perpustakaan,
833,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7232204982563507482?is_from_webapp=1&sender_device=pc,Video,12-May-2023,0:00:55,447,12,0,0,2,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
834,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7231850957271780635?is_from_webapp=1&sender_device=pc,Video,11-May-2023,0:00:58,263,10,0,0,4,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
835,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7231454192404008219?is_from_webapp=1&sender_device=pc,Video,10-May-2023,0:00:59,408,14,0,0,2,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
836,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7231087612272954650?is_from_webapp=1&sender_device=pc,Video,9-May-2023,0:00:17,267,14,0,1,2,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
883,perpusums,https://www.tiktok.com/@perpusums/video/7309669825968688389?is_from_webapp=1&sender_device=pc,Video,7-Dec-2023,0:00:42,561,12,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
1000,perpustakaanuaa,https://www.tiktok.com/@perpustakaanuaa/video/7254422403122597126?is_from_webapp=1&sender_device=pc,Video,11-Jul-2023,0:00:46,316,8,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
1064,perpustakaan_uma,https://www.tiktok.com/@perpustakaan_uma/video/7318226534521752838?is_from_webapp=1&sender_device=pc,Video,30-Dec-2023,0:01:09,129,0,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
1248,perpustakaan_umy,https://www.tiktok.com/@perpustakaan_umy/video/7391499667860638982?is_from_webapp=1&sender_device=pc,Video,14-Jul-2024,0:00:52,558,20,0,0,5,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
1372,uptperpustakaan,https://www.tiktok.com/@uptperpustakaan/video/7437723505325526280?is_from_webapp=1&sender_device=pc,Video,16-Nov-2024,0:00:29,877,38,0,2,2,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
1384,perpustakaan.unpak,https://www.tiktok.com/@perpustakaan.unpak/video/7445178843264027925?is_from_webapp=1&sender_device=pc,Video,6-Dec-2024,0:00:32,180,5,0,0,7,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
1394,perpustakaan.unpak,https://www.tiktok.com/@perpustakaan.unpak/video/7427757192486374661?is_from_webapp=1&sender_device=pc,Video,20-Oct-2024,0:02:34,427,10,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
1395,perpustakaan.unpak,https://www.tiktok.com/@perpustakaan.unpak/video/7421696491548429574?is_from_webapp=1&sender_device=pc,Video,4-Oct-2024,0:00:27,352,7,0,0,1,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
1396,perpustakaan.unpak,https://www.tiktok.com/@perpustakaan.unpak/video/7420807154531159316?is_from_webapp=1&sender_device=pc,Video,1-Oct-2024,0:03:34,368,9,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
1399,perpustakaan.unpak,https://www.tiktok.com/@perpustakaan.unpak/video/7417857147138231560?is_from_webapp=1&sender_device=pc,Video,23-Sep-2024,0:00:30,87,6,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
1402,perpustakaan.unpak,https://www.tiktok.com/@perpustakaan.unpak/video/7417854476922539272?is_from_webapp=1&sender_device=pc,Video,23-Sep-2024,0:00:21,58,5,0,0,5,Acara dan Kegiatan,Informational,Acara atau Kegiatan di Fasilitas Perpustakaan,
5,perpustakaanunmuhjember,https://www.tiktok.com/@perpusunmuhjember/video/7331561342605790470?is_from_webapp=1&sender_device=pc,Video,4-Feb-2024,0:00:12,1356,7,1,0,1,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
11,perpustakaanunmuhjember,https://www.tiktok.com/@perpusunmuhjember/video/7303764778214903045?is_from_webapp=1&sender_device=pc,Video,21-Nov-2023,0:00:16,475,3,0,0,1,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
12,perpustakaanunmuhjember,https://www.tiktok.com/@perpusunmuhjember/video/7303394764030856454?is_from_webapp=1&sender_device=pc,Video,20-Nov-2023,0:00:22,455,1,1,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
17,perpustakaanunmuhjember,https://www.tiktok.com/@perpusunmuhjember/video/7144595952630795546?is_from_webapp=1&sender_device=pc,Video,18-Sep-2022,0:00:20,347,9,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
37,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7300822779719372038?is_from_webapp=1&sender_device=pc,Video,13-Nov-2023,0:01:09,4536,86,0,1,6,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
38,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7300905492178636037?is_from_webapp=1&sender_device=pc,Video,13-Nov-2023,0:00:16,3696,50,4,0,2,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan Perpustakaan,
125,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7354573760722177285?is_from_webapp=1&sender_device=pc,Video,6-Apr-2024,0:00:21,5804,72,4,0,5,Acara dan Kegiatan,Relational,Acara atau Kegiatan Perpustakaan,
134,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7359152431323909381?is_from_webapp=1&sender_device=pc,Video,18-Apr-2024,0:00:16,7768,109,5,4,12,Acara dan Kegiatan,Relational,Acara atau Kegiatan Perpustakaan,
174,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7394463557800299781?is_from_webapp=1&sender_device=pc,Foto,22-Jul-2024,0:00:00,10800,311,1,13,48,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,11
192,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7434891899556678913?is_from_webapp=1&sender_device=pc,Video,8-Nov-2024,0:00:24,3145,121,2,2,4,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
204,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7454211291192823056?is_from_webapp=1&sender_device=pc,Foto,30-Dec-2024,0:00:00,1240,57,0,0,3,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan Perpustakaan,2
212,ublibrary,https://www.tiktok.com/@ublibrary/photo/7447070982898027781?is_from_webapp=1&sender_device=pc,Foto,11-Dec-2024,0:00:00,3015,112,2,6,5,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,3
220,ublibrary,https://www.tiktok.com/@ublibrary/photo/7433637482438135045?is_from_webapp=1&sender_device=pc,Foto,5-Nov-2024,0:00:00,811,24,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,3
232,ublibrary,https://www.tiktok.com/@ublibrary/video/7402868965090807046?is_from_webapp=1&sender_device=pc,Video,14-Aug-2024,0:00:23,11300,533,40,20,47,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
239,ublibrary,https://www.tiktok.com/@ublibrary/video/7380539155417140485?is_from_webapp=1&sender_device=pc,Video,15-Jun-2024,0:00:23,1340,56,3,1,9,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
249,ublibrary,https://www.tiktok.com/@ublibrary/video/7369513592187604229?is_from_webapp=1&sender_device=pc,Video,16-May-2024,0:00:28,755,22,2,1,5,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan Perpustakaan,
261,ublibrary,https://www.tiktok.com/@ublibrary/video/7351285747158224133?is_from_webapp=1&sender_device=pc,Video,28-Mar-2024,0:00:16,1175,8,1,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
262,ublibrary,https://www.tiktok.com/@ublibrary/video/7340591750525750534?is_from_webapp=1&sender_device=pc,Video,28-Feb-2024,0:00:23,930,20,0,1,1,Acara dan Kegiatan,Remunerative,Acara atau Kegiatan Perpustakaan,
263,ublibrary,https://www.tiktok.com/@ublibrary/video/7340129137970973958?is_from_webapp=1&sender_device=pc,Video,27-Feb-2024,0:00:24,4739,115,18,3,19,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
264,ublibrary,https://www.tiktok.com/@ublibrary/photo/7339526989495192838?is_from_webapp=1&sender_device=pc,Foto,25-Feb-2024,0:00:00,650,13,0,1,5,Acara dan Kegiatan,Remunerative,Acara atau Kegiatan Perpustakaan,1
272,ublibrary,https://www.tiktok.com/@ublibrary/video/7306401510236196102?is_from_webapp=1&sender_device=pc,Video,28-Nov-2023,0:00:15,8728,157,2,7,7,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
306,ublibrary,https://www.tiktok.com/@ublibrary/video/7282988803885649158?is_from_webapp=1&sender_device=pc,Video,26-Sep-2023,0:00:15,648,22,0,1,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
313,ublibrary,https://www.tiktok.com/@ublibrary/video/7280715465607957766?is_from_webapp=1&sender_device=pc,Video,20-Sep-2023,0:00:19,779,25,0,1,0,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan Perpustakaan,
317,ublibrary,https://www.tiktok.com/@ublibrary/video/7280004014090046725?is_from_webapp=1&sender_device=pc,Video,18-Sep-2023,0:00:17,676,11,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
320,ublibrary,https://www.tiktok.com/@ublibrary/video/7279027383686991109?is_from_webapp=1&sender_device=pc,Video,15-Sep-2023,0:00:30,559,13,0,1,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
324,ublibrary,https://www.tiktok.com/@ublibrary/video/7274846032905653509?is_from_webapp=1&sender_device=pc,Video,4-Sep-2023,0:00:45,889,30,4,2,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
331,ublibrary,https://www.tiktok.com/@ublibrary/video/7155398444826381594?is_from_webapp=1&sender_device=pc,Video,17-Oct-2022,0:00:34,473,17,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
335,ublibrary,https://www.tiktok.com/@ublibrary/video/7140597131949182234?is_from_webapp=1&sender_device=pc,Video,7-Sep-2022,0:00:52,405,9,0,1,1,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
338,ublibrary,https://www.tiktok.com/@ublibrary/video/7132645041012673818?is_from_webapp=1&sender_device=pc,Video,17-Aug-2022,0:00:24,339,8,0,1,2,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
348,unslibrary,https://www.tiktok.com/@unslibrary/video/7447464037761305862?is_from_webapp=1&sender_device=pc,Video,12-Dec-2024,0:00:45,722,4,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
352,unslibrary,https://www.tiktok.com/@unslibrary/video/7420798887104941317?is_from_webapp=1&sender_device=pc,Video,1-Oct-2024,0:00:49,812,6,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
353,unslibrary,https://www.tiktok.com/@unslibrary/video/7418972799995301126?is_from_webapp=1&sender_device=pc,Video,26-Sep-2024,0:01:02,477,3,0,1,3,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
354,unslibrary,https://www.tiktok.com/@unslibrary/video/7415988818991615237?is_from_webapp=1&sender_device=pc,Video,18-Sep-2024,0:00:49,1122,14,1,0,5,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
356,unslibrary,https://www.tiktok.com/@unslibrary/video/7411472822184463621?is_from_webapp=1&sender_device=pc,Video,6-Sep-2024,0:00:58,1007,7,0,0,9,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
357,unslibrary,https://www.tiktok.com/@unslibrary/video/7408807153684827398?is_from_webapp=1&sender_device=pc,Video,30-Aug-2024,0:00:37,1213,24,2,0,5,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
358,unslibrary,https://www.tiktok.com/@unslibrary/video/7406994031818951942?is_from_webapp=1&sender_device=pc,Video,25-Aug-2024,0:00:51,1019,9,0,2,2,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
360,unslibrary,https://www.tiktok.com/@unslibrary/photo/7403303621430889734?is_from_webapp=1&sender_device=pc,Foto,15-Aug-2024,0:00:00,854,22,0,0,9,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,7
361,unslibrary,https://www.tiktok.com/@unslibrary/video/7398186981227842821?is_from_webapp=1&sender_device=pc,Video,8-Aug-2024,0:00:27,703,7,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
368,unslibrary,https://www.tiktok.com/@unslibrary/video/7375098572955487493?is_from_webapp=1&sender_device=pc,Video,31-May-2024,0:00:18,746,7,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
369,unslibrary,https://www.tiktok.com/@unslibrary/video/7373636174558022917?is_from_webapp=1&sender_device=pc,Video,27-May-2024,0:00:27,1027,5,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
373,unslibrary,https://www.tiktok.com/@unslibrary/video/7359117625160469765?is_from_webapp=1&sender_device=pc,Video,18-Apr-2024,0:00:21,1358,38,1,4,4,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
374,unslibrary,https://www.tiktok.com/@unslibrary/video/7358348174592855301?is_from_webapp=1&sender_device=pc,Video,16-Apr-2024,0:00:32,1135,43,0,3,6,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
383,unslibrary,https://www.tiktok.com/@unslibrary/video/7343564602321472774?is_from_webapp=1&sender_device=pc,Video,7-Mar-2024,0:00:17,15900,697,6,113,250,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
386,unslibrary,https://www.tiktok.com/@unslibrary/video/7340919356290813189?is_from_webapp=1&sender_device=pc,Video,29-Feb-2024,0:00:23,1098,11,0,0,3,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
387,unslibrary,https://www.tiktok.com/@unslibrary/video/7340515512390126853?is_from_webapp=1&sender_device=pc,Video,28-Feb-2024,0:00:26,917,10,0,2,1,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
391,unslibrary,https://www.tiktok.com/@unslibrary/video/7332834974116089093?is_from_webapp=1&sender_device=pc,Video,7-Feb-2024,0:00:25,1058,12,2,3,4,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
439,perpustakaan.tsm,https://www.tiktok.com/@perpustakaan.tsm/video/7403715616848219397?is_from_webapp=1&sender_device=pc,Video,16-Aug-2024,0:00:51,2460,56,1,1,3,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
478,perpustakaan.tsm,https://www.tiktok.com/@perpustakaan.tsm/video/7347689821416066309?is_from_webapp=1&sender_device=pc,Video,18-Mar-2024,0:01:04,1185,51,1,2,3,Acara dan Kegiatan,Relational,Acara atau Kegiatan Perpustakaan,
495,perpustakaan.tsm,https://www.tiktok.com/@perpustakaan.tsm/video/7157681485087051034?is_from_webapp=1&sender_device=pc,Video,23-Oct-2022,0:00:18,515,14,0,1,3,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
503,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/video/7446238579824561413?is_from_webapp=1&sender_device=pc,Video,9-Dec-2024,0:00:27,619,8,2,0,1,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
509,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/video/7432281313110985989?is_from_webapp=1&sender_device=pc,Video,1-Nov-2024,0:00:50,919,12,0,0,1,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
510,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/video/7431575265580485893?is_from_webapp=1&sender_device=pc,Video,30-Oct-2024,0:00:30,1389,16,1,0,1,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
512,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/video/7428507615354719494?is_from_webapp=1&sender_device=pc,Video,22-Oct-2024,0:00:15,875,17,0,0,0,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan Perpustakaan,
513,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/video/7428240430896057605?is_from_webapp=1&sender_device=pc,Video,21-Oct-2024,0:00:22,1037,58,0,0,0,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan Perpustakaan,
517,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/photo/7409878084414917893?is_from_webapp=1&sender_device=pc,Foto,2-Sep-2024,0:00:00,894,12,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,3
521,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/video/7389237259532373254?is_from_webapp=1&sender_device=pc,Video,8-Jul-2024,0:01:09,466,16,0,0,3,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan Perpustakaan,
530,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/video/7379464638460677382?is_from_webapp=1&sender_device=pc,Video,12-Jun-2024,0:00:22,179,5,0,1,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
532,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/video/7375100639308893445?is_from_webapp=1&sender_device=pc,Video,31-May-2024,0:00:22,872,34,0,1,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
534,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/video/7371767299004452101?is_from_webapp=1&sender_device=pc,Video,22-May-2024,0:00:10,2673,208,0,5,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
535,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/video/7371765130192882949?is_from_webapp=1&sender_device=pc,Video,22-May-2024,0:00:25,2915,384,0,7,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
536,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/video/7371764125375958278?is_from_webapp=1&sender_device=pc,Video,22-May-2024,0:00:11,312,14,2,1,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
543,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/video/7364400128708316421?is_from_webapp=1&sender_device=pc,Video,2-May-2024,0:00:11,782,25,0,1,0,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan Perpustakaan,
544,perpustakaanipdn,https://www.tiktok.com/@perpustakaanipdn/video/7364390610700209413?is_from_webapp=1&sender_device=pc,Video,2-May-2024,0:01:08,854,27,0,2,5,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
551,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7431484155516570885?is_from_webapp=1&sender_device=pc,Video,30-Oct-2024,0:00:29,309,7,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
552,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7409933132629134597?is_from_webapp=1&sender_device=pc,Video,2-Sep-2024,0:00:23,949,19,0,1,5,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
553,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7408390746862030086?is_from_webapp=1&sender_device=pc,Video,29-Aug-2024,0:00:15,480,11,0,0,1,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
555,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7406529584360934662?is_from_webapp=1&sender_device=pc,Video,24-Aug-2024,0:00:30,378,9,0,0,2,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
558,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7402920552299531526?is_from_webapp=1&sender_device=pc,Video,14-Aug-2024,0:01:10,317,12,0,0,1,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
561,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7395391152725232902?is_from_webapp=1&sender_device=pc,Video,25-Jul-2024,0:01:05,440,8,0,0,3,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
565,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7390658455465463045?is_from_webapp=1&sender_device=pc,Video,12-Jul-2024,0:00:19,300,10,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
567,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7380207084165532934?is_from_webapp=1&sender_device=pc,Video,14-Jun-2024,0:00:24,360,10,0,0,1,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
568,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7377669452063575301?is_from_webapp=1&sender_device=pc,Video,7-Jun-2024,0:00:54,365,6,0,1,2,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
599,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7341630879464197381?is_from_webapp=1&sender_device=pc,Video,2-Mar-2024,0:01:27,566,8,0,1,18,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
604,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7315408884963839238?is_from_webapp=1&sender_device=pc,Video,22-Dec-2023,0:00:15,328,11,0,0,0,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan Perpustakaan,
607,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7308991395014987014?is_from_webapp=1&sender_device=pc,Video,5-Dec-2023,0:00:14,686,18,0,1,0,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan Perpustakaan,
617,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7283407732458261766?is_from_webapp=1&sender_device=pc,Video,27-Sep-2023,0:00:12,465,8,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
618,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7280532425552219398?is_from_webapp=1&sender_device=pc,Video,19-Sep-2023,0:01:51,386,10,0,1,4,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,5
625,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7254475159321496837?is_from_webapp=1&sender_device=pc,Video,11-Jul-2023,0:00:33,649,21,0,1,4,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
626,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7254057305950440710?is_from_webapp=1&sender_device=pc,Video,10-Jul-2023,0:00:10,343,10,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
627,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7249361241855085829?is_from_webapp=1&sender_device=pc,Video,27-Jun-2023,0:00:29,187,8,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
631,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7244083385134599429?is_from_webapp=1&sender_device=pc,Video,13-Jun-2023,0:00:48,350,11,2,0,1,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
633,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7228976939493575963?is_from_webapp=1&sender_device=pc,Video,3-May-2023,0:01:02,331,37,8,3,10,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
634,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7228791683150843163?is_from_webapp=1&sender_device=pc,Video,3-May-2023,0:00:20,1113,44,0,0,0,Acara dan Kegiatan,Entertaining,Acara atau Kegiatan Perpustakaan,
636,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7223296842560245018?is_from_webapp=1&sender_device=pc,Video,18-Apr-2023,0:00:20,375,16,0,0,0,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
639,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7217721912707927302?is_from_webapp=1&sender_device=pc,Video,3-Apr-2023,0:00:12,309,13,2,0,2,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
649,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/photo/7201103344994225435?is_from_webapp=1&sender_device=pc,Foto,17-Feb-2023,0:00:00,308,8,0,1,1,Acara dan Kegiatan,Informational,Acara atau Kegiatan Perpustakaan,
